                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.1655,                 1.1158,                 1.3189,                0.79731,                0.62655,                0.72314,                0.50077,                 1.0818,                0.92937,                 1.2501,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.1627,                 1.1102,                 1.3169,                0.79588,                0.62722,                0.72328,                0.50101,                 1.0814,                0.92921,                 1.2494,               0.006667,               0.006667,               0.006667
                    103,                 1.1627,                 1.1144,                 1.3158,                0.79473,                0.62761,                0.72336,                0.50126,                 1.0802,                0.92892,                 1.2482,               0.006634,               0.006634,               0.006634
                    104,                 1.1649,                  1.114,                 1.3157,                0.79563,                0.62682,                0.72371,                0.50144,                 1.0794,                0.92874,                 1.2474,               0.006601,               0.006601,               0.006601
                    105,                 1.1657,                 1.1125,                 1.3176,                0.79573,                0.62761,                0.72425,                0.50211,                 1.0791,                0.92871,                 1.2469,               0.006568,               0.006568,               0.006568
                    106,                 1.1635,                 1.1089,                 1.3146,                0.79695,                0.62771,                0.72432,                0.50196,                 1.0788,                0.92895,                 1.2461,               0.006535,               0.006535,               0.006535
                    107,                 1.1604,                 1.1112,                 1.3131,                 0.7956,                0.62903,                0.72443,                0.50209,                 1.0786,                0.92922,                 1.2456,               0.006502,               0.006502,               0.006502
                    108,                 1.1602,                 1.1067,                 1.3103,                0.79566,                0.62775,                0.72377,                0.50212,                 1.0781,                0.92934,                  1.245,               0.006469,               0.006469,               0.006469
                    109,                 1.1584,                 1.1032,                 1.3083,                0.79828,                0.62702,                0.72366,                0.50246,                 1.0777,                0.92918,                 1.2445,               0.006436,               0.006436,               0.006436
                    110,                 1.1593,                 1.1058,                  1.311,                0.80061,                0.62703,                0.72436,                0.50303,                 1.0768,                0.92892,                 1.2436,               0.006403,               0.006403,               0.006403
                    111,                  1.162,                  1.103,                 1.3121,                 0.8018,                0.62591,                0.72437,                0.50327,                 1.0761,                0.92925,                 1.2428,                0.00637,                0.00637,                0.00637
                    112,                 1.1576,                  1.101,                 1.3087,                0.80098,                0.62774,                 0.7245,                0.50357,                 1.0753,                0.92918,                 1.2422,               0.006337,               0.006337,               0.006337
                    113,                 1.1568,                 1.1016,                 1.3073,                0.80214,                0.62659,                0.72472,                0.50382,                 1.0749,                0.92906,                 1.2417,               0.006304,               0.006304,               0.006304
