                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 1.0327,                0.91091,                 1.2218,                0.83163,                0.69769,                0.79312,                 0.5771,                0.95598,                0.73573,                 1.1425,               0.005908,               0.005908,               0.005908
                    126,                 1.0301,                0.90635,                 1.2205,                0.83077,                0.69996,                0.79353,                0.57773,                0.95566,                0.73527,                 1.1421,               0.005875,               0.005875,               0.005875
                    127,                 1.0308,                0.90565,                 1.2202,                0.82751,                0.70332,                0.79396,                0.57797,                0.95603,                0.73412,                  1.142,               0.005842,               0.005842,               0.005842
                    128,                 1.0312,                 0.9073,                 1.2205,                 0.8285,                0.70278,                0.79455,                0.57836,                0.95511,                0.73349,                 1.1411,               0.005809,               0.005809,               0.005809
                    129,                 1.0308,                0.90605,                   1.22,                0.82982,                0.70171,                0.79476,                0.57871,                0.95434,                0.73332,                   1.14,               0.005776,               0.005776,               0.005776
                    130,                 1.0288,                0.90278,                 1.2177,                0.82763,                0.70419,                 0.7946,                0.57912,                0.95315,                0.73223,                  1.139,               0.005743,               0.005743,               0.005743
                    131,                 1.0274,                0.90189,                 1.2185,                0.82769,                0.70443,                0.79522,                0.57932,                0.95325,                0.73107,                 1.1387,                0.00571,                0.00571,                0.00571
                    132,                  1.026,                0.90193,                 1.2156,                0.82728,                0.70558,                0.79543,                 0.5799,                0.95262,                0.73061,                 1.1379,               0.005677,               0.005677,               0.005677
                    133,                 1.0258,                0.90158,                 1.2163,                0.82816,                0.70668,                0.79588,                 0.5799,                 0.9522,                0.73011,                 1.1373,               0.005644,               0.005644,               0.005644
                    134,                 1.0246,                0.89692,                 1.2146,                0.82733,                0.70772,                0.79603,                0.58015,                0.95147,                0.72936,                 1.1365,               0.005611,               0.005611,               0.005611
                    135,                  1.024,                0.89877,                 1.2158,                0.83033,                0.70625,                 0.7961,                0.58067,                 0.9519,                0.72858,                 1.1363,               0.005578,               0.005578,               0.005578
                    136,                 1.0253,                0.89908,                  1.214,                0.82865,                0.70716,                0.79583,                0.58093,                0.95166,                0.72844,                 1.1357,               0.005545,               0.005545,               0.005545
                    137,                 1.0256,                0.89413,                  1.212,                0.82736,                0.70682,                 0.7962,                0.58091,                0.95119,                0.72749,                 1.1348,               0.005512,               0.005512,               0.005512
                    138,                 1.0231,                0.89589,                 1.2112,                0.82966,                0.70545,                 0.7962,                0.58142,                0.95047,                0.72772,                 1.1337,               0.005479,               0.005479,               0.005479
                    139,                 1.0238,                0.89493,                 1.2122,                0.82802,                0.70627,                0.79616,                 0.5811,                0.95005,                0.72638,                 1.1331,               0.005446,               0.005446,               0.005446
                    140,                 1.0233,                0.89384,                 1.2115,                0.82948,                0.70629,                0.79654,                0.58131,                0.94962,                0.72566,                 1.1324,               0.005413,               0.005413,               0.005413
                    141,                 1.0217,                0.89096,                 1.2083,                 0.8285,                0.70861,                0.79685,                0.58184,                0.94957,                0.72501,                  1.132,                0.00538,                0.00538,                0.00538
                    142,                 1.0179,                0.88985,                 1.2106,                 0.8271,                0.71099,                0.79749,                0.58233,                0.94855,                 0.7245,                 1.1309,               0.005347,               0.005347,               0.005347
                    143,                 1.0209,                0.89352,                 1.2103,                0.82061,                0.71426,                0.79767,                 0.5822,                0.94875,                0.72415,                  1.131,               0.005314,               0.005314,               0.005314
                    144,                 1.0196,                0.88583,                 1.2069,                0.82376,                0.71163,                0.79793,                0.58232,                0.94862,                0.72385,                 1.1306,               0.005281,               0.005281,               0.005281
                    145,                 1.0185,                 0.8878,                 1.2077,                0.82642,                0.70827,                0.79765,                0.58263,                0.94782,                0.72317,                 1.1298,               0.005248,               0.005248,               0.005248
                    146,                 1.0168,                0.88568,                 1.2068,                0.82553,                0.70984,                0.79799,                0.58309,                 0.9476,                0.72314,                 1.1292,               0.005215,               0.005215,               0.005215
                    147,                 1.0187,                0.88449,                 1.2064,                0.82525,                0.70947,                0.79817,                 0.5834,                0.94824,                0.72315,                 1.1294,               0.005182,               0.005182,               0.005182
                    148,                 1.0163,                0.88444,                 1.2051,                0.82685,                 0.7082,                0.79855,                0.58346,                0.94814,                0.72349,                 1.1291,               0.005149,               0.005149,               0.005149
                    149,                  1.016,                0.88278,                 1.2033,                 0.8276,                0.70568,                0.79838,                0.58405,                0.94797,                0.72447,                 1.1282,               0.005116,               0.005116,               0.005116
